Id,Referencia,Código Barra,Nombre,SKU,Descripción,Item Tipo,Es Combo,Precio 1,Precio 2,Precio 3,Precio 4,Precio 5,Margen 1,Margen 2,Margen 3,Margen 4,Margen 5,No Comisionable,Marca Id,Marca Nombre,Categoria Id,Categoria Nombre,SubCategoria Id,SubCategoria Nombre,Familia Id,Familia Nombre,RazonTransaccion Id,RazonTransaccion Nombre,Item Unidad Id,Item Unidad Descripcion,Costo Promedio Ponderado,Punto Reorden,Costo Ultimo De Compra,Cuenta Compra,Cuenta Venta,Cuenta Costo,Suplidor,Estatus,Tipo Ingreso,Código Arancelario,Impuestos de Importación,Días de Garantía,Tiempo de Entrega,Crear Usuario,Fecha Creación,Actualizar Usuario,Fecha Actualización,Atributo 1,Atributo 2,Atributo 3,Atributo 4,Atributo 5,Atributo 6,Atributo 7,Atributo 8,Atributo 9,Atributo 10,Imagen
699,ANALIZADOR DE ENERGIA,,15870DA,FLUKE-434,Analizador de energia FLUKE modelo FLUKE-434,Producto con Inventario con Descuento y Despacho,No,7493.23,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,6052.2315,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
700,TEST ELECTRONIC MASTER TLK287,,15879NA,TLK287,Test electronic master tlk287 FLUKE modelo TLK287,Producto con Inventario con Descuento y Despacho,No,210.63,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,184.3065,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
701,DETECTOR D/ VOLTAGE 90-1000V,,15890A,FLUKE-1AC-II,Detector de voltage 90–1000 v FLUKE modelo FLUKE-1AC-II,Producto con Inventario con Descuento y Despacho,No,36.75,,,,,45,,,,,No,57,FLUKE,58,15 - Detectores,,,,,,,1,Unidad,,,26.9955,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
702,MULTIMETRO FLUKE 113,,15885C,FLUKE-113,Multimetro Fluke 113 FLUKE modelo FLUKE-113,Producto con Inventario con Descuento y Despacho,No,187,,,,,45,,,,,No,57,FLUKE,42,15 - Multimetros,,,,,,,1,Unidad,,,163.9365,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
703,MEDIDOR DE DISTANCIA DIGITAL,,15871F,FLUKE-419D,Medidor de distancia digital FLUKE modelo FLUKE-419D,Producto con Inventario con Descuento y Despacho,No,360.55,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,290.3985,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
704,MAGAMETRO TERSTER PCE-G28,,15885 PEC-G28,PCE-G28,Magametro terster pce-g28 modelo PCE-G28,Producto con Inventario con Descuento y Despacho,No,582.58,,,,,45,,,,,No,10,PAYPAL,41,15 - Electricios,,,,,,,1,Unidad,,,353.08,100302,,,PAYPAL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
705,AMPERIMETRO FLUKE 376FC,,15872B FLUKE,FLUKE-376FC,"Amperimetro Fluke 376fc FLUKE modelo FLUKE-376FC AMPERIMETRO FLUKE 376FC MARCA: FLUKE 376FC, 0-1000AMP CA/CD",Producto con Inventario con Descuento y Despacho,No,61197.7865,,,,,45,,,,,No,57,FLUKE,50,15 - Amperimetros,,,,,,,1,Unidad,42139.988,,42139.988,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
706,PINZA AMPERIMETRICA I400,,15890B,I400,Pinza amperimetrica i400 FLUKE modelo I400,Producto con Inventario con Descuento y Despacho,No,163.07,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,160.062,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
707,JUEGO D/CABLES FLUKE TL75,,15879C TL75,TL75,Juego de cables Fluke tl75 FLUKE modelo TL75,Producto con Inventario con Descuento y Despacho,No,3221.382785,,,,,45,,,,,No,57,FLUKE,57,15 - Cables,,,,,,,1,Unidad,2221.6433,,2221.6433,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
708,CABLE P/MEGOMETRO TEST LEAD,,15880D,AMB50-KIT,Cable paramegometro test lead FLUKE modelo AMB50-KIT,Producto con Inventario con Descuento y Despacho,No,85.9,,,,,45,,,,,No,57,FLUKE,57,15 - Cables,,,,,,,1,Unidad,,,62.1495,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
709,COMPROBADOR D/RESISTENCIA,,15881A,AMB-25,Comprobador de resistencia FLUKE modelo AMB-25,Producto con Inventario con Descuento y Despacho,No,385,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,310.7895,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
710,MEDIDOR D/ ROTACION AMPROBE,,15870K,PRM-6,Medidor de rotacion amprobe FLUKE modelo PRM-6,Producto con Inventario con Descuento y Despacho,No,164.15,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,132.5835,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
711,AMPERIMETRO FLUKE 377 FC,,15872BD,FLUKE-377 FC,Amperimetro Fluke 377 Fc FLUKE modelo FLUKE-377 FC,Producto con Inventario con Descuento y Despacho,No,788.26,,,,,45,,,,,No,57,FLUKE,50,15 - Amperimetros,,,,,,,1,Unidad,,,689.7345,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
712,MULTIMETRO DIGITAL,,15871B,34-XR-A,Multimetro digital FLUKE modelo 34-XR-A,Producto con Inventario con Descuento y Despacho,No,176.78,,,,,45,,,,,No,57,FLUKE,42,15 - Multimetros,,,,,,,1,Unidad,,,142.7895,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
713,DECTECTOR DE ROTURA,,15890BA,MBR2A,Dectector de rotura modelo MBR2A,Producto con Inventario con Descuento y Despacho,No,210.9,,,,,45,,,,,No,96,4B COMPONE,41,15 - Electricios,,,,,,,1,Unidad,,,127.82,100302,,,PAYPAL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
714,DECIBELIMETRO AMPROBE SM-20A,,15880C,SM-20A,Decibelimetro amprobe sm-20 a FLUKE modelo SM-20A,Producto con Inventario con Descuento y Despacho,No,438.7,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,383.8695,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
715,INDICADOR DE CAMPO FLUKE 9062,,15872E FLUKE,FLUKE-9062,Indicador de Campo Fluke 9062 FLUKE modelo FLUKE-9062,Producto con Inventario con Descuento y Despacho,No,339.57,,,,,45,,,,,No,57,FLUKE,55,15 - Indicadores,,,,,,,1,Unidad,,,241.9725,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
716,AMPERIMETRO AMPROBE ACD-6PRO,,15897B ACD-6PR,ACD-6PRO,Amperimetro amprobe acd-6pro modelo ACD-6PRO,Producto con Inventario con Descuento y Despacho,No,212.85,,,,,45,,,,,No,97,FOTRONIC,50,15 - Amperimetros,,,,,,,1,Unidad,,,129.58,100302,,,FOTRONIC CORPORATION,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
717,LED LIGHT METER,,15882C,LM-200 LED,Led light meter FLUKE modelo LM-200 LED,Producto con Inventario con Descuento y Despacho,No,168.57,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,122.0835,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
718,FLUKE NETWORK KIT,,15882D,PRO3000F60-KIT,Fluke network kit FLUKE modelo PRO3000F60-KIT,Producto con Inventario con Descuento y Despacho,No,125,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,99.54,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
719,OSCILOSCOPIO DIGITAL,,15884B,FLUKE-123B,Osciloscopio digital FLUKE modelo FLUKE-123B,Producto con Inventario con Descuento y Despacho,No,2598.4,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,2098.7085,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
720,AMPERIMETRO FLUKE 376,,15872BA,FLUKE-376,Amperimetro Fluke 376 FLUKE modelo FLUKE-376,Producto con Inventario con Descuento y Despacho,No,595.94,,,,,45,,,,,No,57,FLUKE,50,15 - Amperimetros,,,,,,,1,Unidad,,,481.341,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
721,LENTE INFRAROJO P/TI200-TI300,,15886BC,FLK-LEN/TELE2,Lente infrarrojo parati200-ti300 FLUKE modelo FLK-LEN/TELE2,Producto con Inventario con Descuento y Despacho,No,1907.59,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,1540.749,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
722,MEDIDOR DE DISTANCIA LASER,,15870G FLUKE,FLUKE419D,Medidor de distancia laser FLUKE modelo FLUKE419D,Producto con Inventario con Descuento y Despacho,No,333.9,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,247.611,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
723,CAMARA TERMOGRAFICA PTi120,,15899LA,PTI120,Camara termografica pti120 FLUKE modelo PTI120,Producto con Inventario con Descuento y Despacho,No,1215.55,,,,,45,,,,,No,57,FLUKE,60,15 - Camaras termograficas,,,,,,,1,Unidad,,,1012.96,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
724,REGULADOR FP 96X96MM,,15899WA,DPFC06A,Regulador Fp 96x96mm modelo DPFC06A,Producto con Inventario con Descuento y Despacho,No,164.85,,,,,45,,,,,No,98,KOMATSU,61,15 - Reguladores,,,,,,,1,Unidad,,,119.3745,100302,,,GRUPO DE ING. KOMATSU,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
725,MILTIMETRO FLUKE 189 SUSTITUTO,,15902  FLUKE,87V/AEK,Miltimetro Fluke 189 sustituto FLUKE modelo 87V/AEK,Producto con Inventario con Descuento y Despacho,No,699.153,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,474.14,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
726,BOMBILLO LED BLANCO 220VAC,,16001FA,YWLED220W,Bombillo led blanco 220vac modelo YWLED220W,Producto con Inventario con Descuento y Despacho,No,1,,,,,45,,,,,No,22,TECNI ELEC,64,16 - Bombillos,,,,,,,1,Unidad,,,0.5801,100302,,,"TECNI ELECTRIC, SRL",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
727,PROBADOR ESTATICO ALTA TENSION,,15899W,TIC-300 PRO,Probador estatico alta tension FLUKE modelo TIC-300 PRO,Producto con Inventario con Descuento y Despacho,No,315,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,225.6765,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
728,CAMARA TERMOGRAFICA FLUKE,,15899L,FLK-TI401-PRO,Camara termografica Fluke FLUKE modelo FLK-TI401-PRO,Producto con Inventario con Descuento y Despacho,No,8353.78,,,,,45,,,,,No,57,FLUKE,60,15 - Camaras termograficas,,,,,,,1,Unidad,,,6747.2895,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
729,CABLE DE ALTA TEMPERATURA,,15899A,E-2CCB60,Cable de alta temperatura FLUKE modelo E-2CCB60,Producto con Inventario con Descuento y Despacho,No,2453.93,,,,,45,,,,,No,57,FLUKE,57,15 - Cables,,,,,,,1,Unidad,,,1982.022,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
730,BOMBILLO INCANDESCENTE 150W,,16005DDD,150W,Bombillo incandescente 150w modelo 150W,Producto con Inventario con Descuento y Despacho,No,0.88,,,,,45,,,,,No,103,P&C,64,16 - Bombillos,,,,,,,1,Unidad,,,0.5775,100302,,,"P & C TODO ELECTRICOS, SRL",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
731,RELAY DE PROTECCION GENERADOR,,15906G,BE1-11G5A3M5P 1N0E00,Relay de proteccion generador modelo BE1-11G5A3M5P,Producto con Inventario con Descuento y Despacho,No,5986,,,,,45,,,,,No,99,GOVERNOR,39,15 - Relays,,,,,,,1,Unidad,,,3401.44,100302,,,PAYPAL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
732,BOMBILLO DE HALOGENO 12V,,16004EA G4,G4,Bombillo de halogeno 12 v modelo G4,Producto con Inventario con Descuento y Despacho,No,2,,,,,45,,,,,No,10,PAYPAL,64,16 - Bombillos,,,,,,,1,Unidad,,,0.99,100302,,,PAYPAL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
733,LUZ PILOTO VERDE 110VAC 22MM,,16010AA,XB4-BV63,Luz piloto verde 110vac 22mm modelo XB4-BV63,Producto con Inventario con Descuento y Despacho,No,9,,,,,45,,,,,No,22,TECNI ELEC,63,16 - Luces y accesorios,,,,,,,1,Unidad,,,5.5965,100302,,,"TECNI ELECTRIC, SRL",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
734,CAMARA TERM FLUKE 640x480 9hz,,15899P,FLK-TIX580 9HZ,"Termómetro FLUKE modelo FLK-TIX580 9HZ, uso industrial",Producto con Inventario con Descuento y Despacho,No,17804.33,,,,,45,,,,,No,57,FLUKE,54,15 - Termómetros,,,,,,,1,Unidad,,,14380.422,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
735,REPLACEMENT ELECTRODE WD-35624,,15913 WD-35624,WD-35624-29,Replacement electrode wd-35624 modelo WD-35624-29,Producto con Inventario con Descuento y Despacho,No,74,,,,,45,,,,,No,100,OMNI CONTR,62,15 - Electrodos,,,,,,,1,Unidad,,,51.46,100302,,,Omni Controls Inc,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
736,PILOTO LUMINOSO 22 BLANCO LED,,16017AAA,XB4BVG1,Piloto luminoso 22 blanco led modelo XB4BVG1,Producto con Inventario con Descuento y Despacho,No,22,,,,,45,,,,,No,80,CONTROL,63,16 - Luces y accesorios,,,,,,,1,Unidad,,,15.75,100302,,,CONTROL ENGINEERING,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
737,LUZ ROTATIVA ROJA 220 volt.AC,,16013 AVG-220,AVGR-220V,Luz rotativa roja 220 volt.ac AUTONICS modelo AVGR-220V,Producto con Inventario con Descuento y Despacho,No,43.79,,,,,45,,,,,No,21,AUTONICS,63,16 - Luces y accesorios,,,,,,,1,Unidad,,,31.28,100302,,,AUTONICS USA INC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
738,LUZ ROTAT C/ALARMA VERDE110,,16018D AVGB-GR,AVGB-110 GREEN,Luz rotat con alarma verde110 AUTONICS modelo AVGB-110 GREEN,Producto con Inventario con Descuento y Despacho,No,71,,,,,45,,,,,No,21,AUTONICS,63,16 - Luces y accesorios,,,,,,,1,Unidad,,,41.86,100302,,,AUTONICS USA INC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
739,LUZ ROTAT. C/ALARMA VERD 24V,,16018E AVGB-GR,AVGB-24VGREEN,Luz rotat. con alarma verd 24 v AUTONICS modelo AVGB-24VGREEN,Producto con Inventario con Descuento y Despacho,No,41.96,,,,,45,,,,,No,21,AUTONICS,63,16 - Luces y accesorios,,,,,,,1,Unidad,,,32.28,100302,,,AUTONICS USA INC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
740,BOMBILLO LED 24VAC P/LUZ PILOT,,16003ZZ,HD16BA9S-24V,Bombillo led 24vac paraluz pilot modelo HD16BA9S-24V,Producto con Inventario con Descuento y Despacho,No,1.09,,,,,45,,,,,No,12,NC,64,16 - Bombillos,,,,,,,1,Unidad,,,0.7875,100302,,,"NC AUTOMATIZACION Y CONTROLES, SRL",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
741,LUZ ROT.ROJA 120V EDWARDS SIGM,,16039,52R-N5-40WH-ED,Luz rot.roja 120 v edwards sigm modelo 52R-N5-40WH-ED,Producto con Inventario con Descuento y Despacho,No,404,,,,,45,,,,,No,85,GALCO,63,16 - Luces y accesorios,,,,,,,1,Unidad,,,234.91,100302,,,GALCO INDUSTRIAL ELECTRONICS,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
742,DESCARGADOR DE SOBRETENSION,,15985AA,PXCSUP-022,Descargador de sobretension modelo PXCSUP-022,Producto con Inventario con Descuento y Despacho,No,601.75,,,,,45,,,,,No,31,CONTROL EN,41,15 - Electricios,,,,,,,1,Unidad,,,436.401,100302,,,CONTROL ENGINEERING,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
743,CAMARA TERMOG. FLUKE TIS75+,,15899HB,FLUKE-TIS75+,Camara termog. Fluke tis75+ FLUKE modelo FLUKE-TIS75+,Producto con Inventario con Descuento y Despacho,No,7513.03,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,6573.903,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
744,WATERPROOF TESTER WD-35624-22,,15912  WD-3562,WD-3562-22,Waterproof tester wd-35624–22 modelo WD-3562-22,Producto con Inventario con Descuento y Despacho,No,143,,,,,45,,,,,No,100,OMNI CONTR,42,15 - Multimetros,,,,,,,1,Unidad,,,94.99,100302,,,Omni Controls Inc,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
745,CAMARA TERMOGRAFICA TI480 PRO,,15899GA,FLUKE TI480PRO,Camara termografica ti480 pro FLUKE modelo FLUKE TI480PRO,Producto con Inventario con Descuento y Despacho,No,8300,,,,,45,,,,,No,57,FLUKE,60,15 - Camaras termograficas,,,,,,,1,Unidad,,,6825,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
746,LUZ ROTATIVA ROJA 110V,,16012 AVG-110V,AVG-110V,Luz rotativa roja 110 v AUTONICS modelo AVG-110V,Producto con Inventario con Descuento y Despacho,No,57,,,,,45,,,,,No,21,AUTONICS,63,16 - Luces y accesorios,,,,,,,1,Unidad,,,34.3,100302,,,AUTONICS USA INC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
747,ZOCALO WEIDMULLER,,16005E,PXZ35,Zocalo weidmuller modelo PXZ35,Producto con Inventario con Descuento y Despacho,No,11,,,,,45,,,,,No,104,ONLINE COM,63,16 - Luces y accesorios,,,,,,,1,Unidad,,,6.78,100302,,,ONLINE COMPONENTS,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
748,"LUZ ROTAT.ROJA C/ALARMA,24 VDC",,16018C AVGB-RE,AVGB-RED-24VDC,"Luz rotat.roja con alarma,24 vdc AUTONICS modelo AVGB-RED-24VDC",Producto con Inventario con Descuento y Despacho,No,66.96,,,,,45,,,,,No,21,AUTONICS,63,16 - Luces y accesorios,,,,,,,1,Unidad,,,37.49,100302,,,AUTONICS USA INC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
749,CONTADOR KWH TRIFASICO 125A,,15909Y,SNA9MEM3350,Contador kwh trifasico 125 a modelo SNA9MEM3350,Producto con Inventario con Descuento y Despacho,No,267,,,,,45,,,,,No,22,TECNI ELEC,46,15 - Contadores,,,,,,,1,Unidad,,,193.536,100302,,,"TECNI ELECTRIC, SRL",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
750,BASE P/TORRE DE LUZ - ALLEN BR,,16044,855E-BPM10C,Base paratorre de luz - allen br modelo 855E-BPM10C,Producto con Inventario con Descuento y Despacho,No,150,,,,,45,,,,,No,101,ALLEN BRAD,63,16 - Luces y accesorios,,,,,,,1,Unidad,,,46.08,100302,,,PAYPAL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
751,CAMARA TERM. 640x480 9HZ,,15899M,FLK-TI480-PRO,Termómetro Camara termómetro. 640x480 9hz FLUKE modelo FLK-TI480-PRO,Producto con Inventario con Descuento y Despacho,No,12717.38,,,,,45,,,,,No,57,FLUKE,54,15 - Termómetros,,,,,,,1,Unidad,,,10271.73,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
752,CABLE CONECTOR 12 DIN FLUKE,,15899AB,E-2CCON,Cable Conector 12 din Fluke FLUKE modelo E-2CCON,Producto con Inventario con Descuento y Despacho,No,146.41,,,,,45,,,,,No,57,FLUKE,59,15 - Conectores,,,,,,,1,Unidad,,,118.2615,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
753,ZOCALO P/LAMPARA PILOTO,,16005EEE,3SB3400-1PE,Zocalo paralampara piloto SIEMENS modelo 3SB3400-1PE,Producto con Inventario con Descuento y Despacho,No,51,,,,,45,,,,,No,44,SIEMENS,64,16 - Bombillos,,,,,,,1,Unidad,,,19.89,100302,,,PAYPAL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
754,LUZ PILOTO ROJA 24V AC/DC,,16005A 855PC,855PC-B24ME4 22,Luz piloto roja 24 v ac/dc (corriente alterna y Continua) modelo 855PC-B24ME4,Producto con Inventario con Descuento y Despacho,No,172.96,,,,,45,,,,,No,102,REXEL,63,16 - Luces y accesorios,,,,,,,1,Unidad,,,90.83,100302,,,Rexel USA,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
755,BOMBILLO DE SODIUM 400W ECO,,16004G,LU400/ECO,Bombillo de sodium 400w eco modelo LU400/ECO,Producto con Inventario con Descuento y Despacho,No,27,,,,,45,,,,,No,10,PAYPAL,64,16 - Bombillos,,,,,,,1,Unidad,,,15.6,100302,,,PAYPAL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
756,LUZ INDICADORA 12MM DC VERDE,,16017F,,Luz indicadora 12mm dc verde,Producto con Inventario con Descuento y Despacho,No,2.87,,,,,45,,,,,No,70,COMPONENTE,65,16 - Indicadores,,,,,,,1,Unidad,,,2.079,100302,,,"R&M COMPONENTES INDUSTRIALES, SRL",Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
757,SET ADVANCED WIRE TRACER W/BAT,,15900A,AT-2005-A,Set advanced wire tracer w/bat modelo AT-2005-A,Producto con Inventario con Descuento y Despacho,No,1744.43,,,,,45,,,,,No,10,PAYPAL,57,15 - Cables,,,,,,,1,Unidad,,,1057.42,100302,,,PAYPAL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
758,CAMARA TERMOGRAFICA TI401PRO,,15899PA,FLUKE-TI401 PR,Camara termografica ti401pro FLUKE modelo FLUKE-TI401 PR,Producto con Inventario con Descuento y Despacho,No,8368.04,,,,,45,,,,,No,57,FLUKE,60,15 - Camaras termograficas,,,,,,,1,Unidad,,,7190.211,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
759,CAMARA TERMOG. FLUKE TIS20+,,15899HA,FLUKE-TIS20+,Camara termog. Fluke tis20+ modelo FLUKE-TIS20+,Producto con Inventario con Descuento y Despacho,No,2421.2,,,,,45,,,,,No,91,TDP,41,15 - Electricios,,,,,,,1,Unidad,,,2033.808,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
760,TRIPOD ACCESORIO HOLDER TI200,,15909F,TRIPOD MTG,Tripod accesorio holder ti200 FLUKE modelo TRIPOD MTG,Producto con Inventario con Descuento y Despacho,No,139.88,,,,,45,,,,,No,57,FLUKE,41,15 - Electricios,,,,,,,1,Unidad,,,112.98,100302,,,TDP DOMINICANA SRL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
